molecularAlterationType,datatype,name,description,showProfileInAnalysisTab,molecularProfileId,studyId
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation beta-values (HM27 platform). For genes with multiple methylation probes, the probe least correlated with expression is selected.",false,"brca_tcga_pub_methylation_hm27","brca_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"brca_tcga_pub_mutations","brca_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","Expression levels for microRNAs.",false,"brca_tcga_pub_mirna","brca_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","microRNA expression Z-scores","microRNA expression Z-scores compared to all tumors.",false,"brca_tcga_pub_mirna_median_Zscores","brca_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA/miRNA expression Z-scores (all genes)","mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",true,"brca_tcga_pub_mrna_merged_median_Zscores","brca_tcga_pub"
"PROTEIN_LEVEL","CONTINUOUS","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"brca_tcga_pub2015_protein_quantification","brca_tcga_pub2015"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"brca_tcga_pub2015_rppa_Zscores","brca_tcga_pub2015"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 1080 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"brca_tcga_pub2015_gistic","brca_tcga_pub2015"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17157 genes in 590 brca cases (Agilent microarray).",false,"brca_tcga_pub2015_mrna","brca_tcga_pub2015"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"brca_tcga_pub2015_mrna_median_Zscores","brca_tcga_pub2015"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 1212 brca cases (RNA Seq V2 RSEM).",false,"brca_tcga_pub2015_rna_seq_v2_mrna","brca_tcga_pub2015"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"brca_tcga_pub2015_rna_seq_v2_mrna_median_Zscores","brca_tcga_pub2015"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number valuesdata_filename: data_linear_CNA.txt","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"brca_tcga_pub2015_linear_CNA","brca_tcga_pub2015"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 343 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"brca_tcga_pub2015_methylation_hm27","brca_tcga_pub2015"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 869 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"brca_tcga_pub2015_methylation_hm450","brca_tcga_pub2015"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"brca_tcga_pub2015_mutations","brca_tcga_pub2015"
"COPY_NUMBER_ALTERATION","DISCRETE","copy-number alterations","Discrete copy-number data from IMPACT",true,"breast_msk_2018_cna","breast_msk_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from IMPACT testing",true,"breast_msk_2018_mutations","breast_msk_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from multi region exome sequencing (M-seq) of 10 clear cell renal carcinomas(ccRCCs).",true,"ccrcc_irc_2014_mutations","ccrcc_irc_2014"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole genome and(or) whole exome sequencing of 240 clear-cell renal cell carcinoma samples.",true,"ccrcc_utokyo_2013_mutations","ccrcc_utokyo_2013"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations","Putative copy-number calls in 972 samples determined by GISTIC2: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification. GISTIC2 was run using the GenePattern website, using the CCLE segmented data downloaded from the CCLE website and all the default parameters, except the confidence, which we increased from 0.75 to 0.99.",true,"cellline_ccle_broad_cna","cellline_ccle_broad"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 16219 genes in 991 samples (Affymetrix microarray).",false,"cellline_ccle_broad_mrna","cellline_ccle_broad"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Affymetrix microarray)",true,"cellline_ccle_broad_mrna_median_Zscores","cellline_ccle_broad"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"cellline_ccle_broad_log2CNA","cellline_ccle_broad"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from targeted sequencing (1561 genes).",true,"cellline_ccle_broad_mutations","cellline_ccle_broad"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from discretization","Putative copy-number calls in 60 samples: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification. Putative copy-number calls in 972 samples determined by GISTIC2: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification. GISTIC2 was run using the GenePattern website.",true,"cellline_nci60_cna","cellline_nci60"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (combined microarray)","mRNA z-Scores (5 Platform Gene Transcript)",true,"cellline_nci60_mrna_median_Zscores","cellline_nci60"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"cellline_nci60_linear_CNA","cellline_nci60"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing (includes only type-2 mutations).",true,"cellline_nci60_mutations","cellline_nci60"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"cesc_tcga_rppa","cesc_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"cesc_tcga_rppa_Zscores","cesc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 295 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"cesc_tcga_gistic","cesc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 309 cesc cases (RNA Seq V2 RSEM).",false,"cesc_tcga_rna_seq_v2_mrna","cesc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"cesc_tcga_rna_seq_v2_mrna_median_Zscores","cesc_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"cesc_tcga_linear_CNA","cesc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 312 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"cesc_tcga_methylation_hm450","cesc_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: CESC/20160128/gdac.broadinstitute.org_CESC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"cesc_tcga_mutations","cesc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"cesc_tcga_pan_can_atlas_2018_gistic","cesc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"cesc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","cesc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"cesc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","cesc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"cesc_tcga_pan_can_atlas_2018_log2CNA","cesc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"cesc_tcga_pan_can_atlas_2018_mutations","cesc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Exomic Sequencing of 32 cases of intrahepatic cholangiocarcinomas and  8 cases of Gall Bladder.",true,"chol_jhu_2013_mutations","chol_jhu_2013"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 15 cases.",true,"chol_nccs_2013_mutations","chol_nccs_2013"
"MUTATION_EXTENDED","MAF","Mutations","Exomic Sequencing of 8 cases of Opisthorchis viverrini-related cholangiocarcinoma.",true,"chol_nus_2012_mutations","chol_nus_2012"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"chol_tcga_rppa","chol_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"chol_tcga_rppa_Zscores","chol_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 36 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"chol_tcga_gistic","chol_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 45 chol cases (RNA Seq V2 RSEM).",false,"chol_tcga_rna_seq_v2_mrna","chol_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"chol_tcga_rna_seq_v2_mrna_median_Zscores","chol_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"chol_tcga_linear_CNA","chol_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 45 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"chol_tcga_methylation_hm450","chol_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: CHOL/20160128/gdac.broadinstitute.org_CHOL.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"chol_tcga_mutations","chol_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"chol_tcga_pan_can_atlas_2018_gistic","chol_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"chol_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","chol_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"chol_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","chol_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"chol_tcga_pan_can_atlas_2018_log2CNA","chol_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"chol_tcga_pan_can_atlas_2018_mutations","chol_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of CLL tumor/normal pairs.",true,"cllsll_icgc_2011_mutations","cllsll_icgc_2011"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-genome(WGS) or whole-exome(WXS) sequencing of 428 CLL, 54 MBL, and 24 SLL samples.",true,"cll_iuopa_2015_mutations","cll_iuopa_2015"
"MUTATION_EXTENDED","MAF","Mutations","Whole-exome sequencing of 619 colorectal cancers with clinicopathologic annotations",true,"coadread_dfci_2016_mutations","coadread_dfci_2016"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 72 tumor/normal pairs.",true,"coadread_genentech_mutations","coadread_genentech"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from 69 patients each having a primary and a metastatic mutation.",true,"coadread_mskcc_mutations","coadread_mskcc"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"coadread_tcga_rppa","coadread_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"coadread_tcga_rppa_Zscores","coadread_tcga"
"PROTEIN_LEVEL","CONTINUOUS","Protein levels (mass spectrometry by CPTAC)","Protein levels measured with mass spectrometry by the Clinical Proteomic Tumor Analysis Consortium (CPTAC)",false,"coadread_tcga_protein_quantification","coadread_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein level Z-scores (mass spectrometry by CPTAC)","Protein level Z-scores measured with mass spectrometry by the Clinical Proteomic Tumor Analysis Consortium (CPTAC)",true,"coadread_tcga_protein_quantification_zscores","coadread_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 616 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"coadread_tcga_gistic","coadread_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 244 coadread cases (Agilent microarray).",false,"coadread_tcga_mrna","coadread_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"coadread_tcga_mrna_median_Zscores","coadread_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 433 coadread cases (RNA Seq V2 RSEM).",false,"coadread_tcga_rna_seq_v2_mrna","coadread_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"coadread_tcga_rna_seq_v2_mrna_median_Zscores","coadread_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"coadread_tcga_linear_CNA","coadread_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 441 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"coadread_tcga_methylation_hm450","coadread_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: COADREAD/20160128/gdac.broadinstitute.org_COADREAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"coadread_tcga_mutations","coadread_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"coadread_tcga_pan_can_atlas_2018_gistic","coadread_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"coadread_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","coadread_tcga_pan_can_atlas_2018"
